,Projections hist.,Projections,Corrected,Historical
1950-01-01,8.0,8.0,,5.0
1950-02-01,8.937822173508929,8.937822173508929,,5.6698729810778055
1950-03-01,11.499999999999996,11.499999999999996,,7.499999999999998
1950-04-01,14.999999999999998,14.999999999999998,,9.999999999999998
1950-05-01,18.499999999999996,18.499999999999996,,12.499999999999996
1950-06-01,21.062177826491073,21.062177826491073,,14.330127018922195
1950-07-01,22.0,22.0,,15.0
1950-08-01,21.062177826491073,21.062177826491073,,14.330127018922195
1950-09-01,18.500000000000004,18.500000000000004,,12.500000000000002
1950-10-01,15.000000000000002,15.000000000000002,,10.000000000000002
1950-11-01,11.499999999999995,11.499999999999995,,7.4999999999999964
1950-12-01,8.937822173508929,8.937822173508929,,5.6698729810778055
1951-01-01,8.0,8.0,,5.0
1951-02-01,8.937822173508927,8.937822173508927,,5.669872981077805
1951-03-01,11.499999999999991,11.499999999999991,,7.499999999999993
1951-04-01,14.999999999999984,14.999999999999984,,9.99999999999999
1951-05-01,18.499999999999993,18.499999999999993,,12.499999999999996
1951-06-01,21.062177826491073,21.062177826491073,,14.330127018922195
1951-07-01,22.0,22.0,,15.0
1951-08-01,21.062177826491073,21.062177826491073,,14.330127018922195
1951-09-01,18.5,18.5,,12.5
1951-10-01,15.000000000000004,15.000000000000004,,10.000000000000004
1951-11-01,11.500000000000007,11.500000000000007,,7.500000000000005
1951-12-01,8.937822173508936,8.937822173508936,,5.669872981077812
1952-01-01,8.0,8.0,,5.0
1952-02-01,8.937822173508925,8.937822173508925,,5.669872981077804
1952-03-01,11.50000000000001,11.50000000000001,,7.500000000000007
1952-04-01,14.999999999999982,14.999999999999982,,9.999999999999988
1952-05-01,18.500000000000004,18.500000000000004,,12.500000000000002
1952-06-01,21.06217782649107,21.06217782649107,,14.330127018922193
1952-07-01,22.0,22.0,,15.0
1952-08-01,21.062177826491073,21.062177826491073,,14.330127018922196
1952-09-01,18.50000000000001,18.50000000000001,,12.500000000000009
1952-10-01,14.999999999999993,14.999999999999993,,9.999999999999995
1952-11-01,11.499999999999998,11.499999999999998,,7.499999999999998
1952-12-01,8.93782217350893,8.93782217350893,,5.669872981077807
1953-01-01,8.0,8.0,,5.0
1953-02-01,8.937822173508923,8.937822173508923,,5.669872981077803
1953-03-01,11.499999999999988,11.499999999999988,,7.499999999999991
1953-04-01,14.99999999999998,14.99999999999998,,9.999999999999986
1953-05-01,18.5,18.5,,12.5
1953-06-01,21.06217782649106,21.06217782649106,,14.330127018922184
1953-07-01,22.0,22.0,,15.0
1953-08-01,21.062177826491077,21.062177826491077,,14.330127018922198
1953-09-01,18.500000000000014,18.500000000000014,,12.500000000000009
1953-10-01,14.999999999999995,14.999999999999995,,9.999999999999996
1953-11-01,11.500000000000021,11.500000000000021,,7.500000000000015
1953-12-01,8.93782217350893,8.93782217350893,,5.669872981077808
1954-01-01,8.0,8.0,,5.0
1954-02-01,8.937822173508923,8.937822173508923,,5.669872981077803
1954-03-01,11.500000000000007,11.500000000000007,,7.500000000000005
1954-04-01,14.999999999999979,14.999999999999979,,9.999999999999986
1954-05-01,18.5,18.5,,12.5
1954-06-01,21.06217782649107,21.06217782649107,,14.330127018922191
1954-07-01,22.0,22.0,,15.0
1954-08-01,21.062177826491066,21.062177826491066,,14.33012701892219
1954-09-01,18.500000000000014,18.500000000000014,,12.50000000000001
1954-10-01,14.999999999999996,14.999999999999996,,9.999999999999998
1954-11-01,11.499999999999979,11.499999999999979,,7.499999999999985
1954-12-01,8.937822173508932,8.937822173508932,,5.669872981077809
1955-01-01,8.0,8.0,,5.0
1955-02-01,8.937822173508923,8.937822173508923,,5.669872981077802
1955-03-01,11.500000000000005,11.500000000000005,,7.5000000000000036
1955-04-01,15.000000000000027,15.000000000000027,,10.00000000000002
1955-05-01,18.499999999999954,18.499999999999954,,12.499999999999968
1955-06-01,21.062177826491055,21.062177826491055,,14.330127018922182
1955-07-01,22.0,22.0,,15.0
